epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,360.948,1.18738,1.37946,1.05597,0.28096,0.09786,0.09122,0.0553,1.66603,4.35062,1.33653,3.35061e-05,3.35061e-05,3.35061e-05
131,363.431,1.19994,1.36627,1.06656,0.25863,0.10151,0.09133,0.05481,1.66242,4.35241,1.33565,3.3417e-05,3.3417e-05,3.3417e-05
132,366.611,1.26697,1.46217,1.05104,0.25755,0.09934,0.08566,0.05114,1.65407,4.35644,1.33354,3.33279e-05,3.33279e-05,3.33279e-05
133,369.259,1.23971,1.40321,1.0372,0.1541,0.12283,0.08969,0.05427,1.64938,4.35118,1.33217,3.32388e-05,3.32388e-05,3.32388e-05
134,371.667,1.23581,1.32334,1.07855,0.1058,0.12912,0.08826,0.05274,1.65031,4.3537,1.33307,3.31497e-05,3.31497e-05,3.31497e-05
135,374.059,1.19744,1.32177,1.02485,0.07678,0.15542,0.08906,0.05325,1.64653,4.34768,1.33147,3.30606e-05,3.30606e-05,3.30606e-05
136,376.44,1.2201,1.34511,1.05677,0.10972,0.12781,0.08686,0.05116,1.64284,4.3486,1.33073,3.29715e-05,3.29715e-05,3.29715e-05
137,379.236,1.18636,1.35289,1.05065,0.18294,0.11592,0.08788,0.05317,1.64435,4.35527,1.33378,3.28824e-05,3.28824e-05,3.28824e-05
138,381.968,1.20504,1.2965,1.09274,0.24943,0.09215,0.08774,0.05352,1.63388,4.34957,1.33051,3.27933e-05,3.27933e-05,3.27933e-05
139,384.506,1.21625,1.41326,1.06615,0.25162,0.09364,0.08739,0.05365,1.63117,4.3529,1.32817,3.27042e-05,3.27042e-05,3.27042e-05
140,386.921,1.1844,1.36243,1.03558,0.25457,0.09371,0.08921,0.05474,1.62352,4.35488,1.32742,3.26151e-05,3.26151e-05,3.26151e-05
141,389.388,1.22541,1.41114,1.03135,0.24295,0.09274,0.09233,0.05462,1.62816,4.36767,1.33192,3.2526e-05,3.2526e-05,3.2526e-05
142,392.018,1.19768,1.26044,1.04421,0.2448,0.09172,0.09321,0.05428,1.63226,4.36338,1.33404,3.24369e-05,3.24369e-05,3.24369e-05
143,395.12,1.21426,1.43373,1.04681,0.23431,0.09692,0.09342,0.05403,1.63761,4.35979,1.33516,3.23478e-05,3.23478e-05,3.23478e-05
144,397.501,1.22048,1.32136,1.03442,0.23269,0.09427,0.09331,0.05373,1.64099,4.35575,1.33535,3.22587e-05,3.22587e-05,3.22587e-05
145,399.921,1.16839,1.2583,1.04565,0.25686,0.09295,0.09385,0.05427,1.64006,4.34829,1.33324,3.21696e-05,3.21696e-05,3.21696e-05
146,402.342,1.19934,1.38275,1.06055,0.26468,0.09232,0.09201,0.05362,1.63291,4.33954,1.33016,3.20805e-05,3.20805e-05,3.20805e-05
147,404.761,1.20359,1.23617,1.03418,0.26582,0.09845,0.09065,0.05401,1.63277,4.32706,1.32724,3.19914e-05,3.19914e-05,3.19914e-05
148,407.72,1.19448,1.31244,1.02105,0.26771,0.09594,0.09091,0.05367,1.63149,4.32443,1.32585,3.19023e-05,3.19023e-05,3.19023e-05
149,410.448,1.21506,1.36808,1.06486,0.27815,0.09451,0.09177,0.05401,1.62894,4.32717,1.32377,3.18132e-05,3.18132e-05,3.18132e-05
150,412.944,1.15002,1.27911,1.04606,0.28145,0.09511,0.09371,0.05529,1.63287,4.31773,1.32478,3.17241e-05,3.17241e-05,3.17241e-05
151,415.456,1.17034,1.245,1.03259,0.25982,0.09967,0.09318,0.05496,1.63921,4.31917,1.32688,3.1635e-05,3.1635e-05,3.1635e-05
152,417.917,1.21741,1.32545,1.05611,0.25922,0.09797,0.09824,0.05739,1.64384,4.31417,1.32946,3.15459e-05,3.15459e-05,3.15459e-05
153,420.944,1.22384,1.29617,1.01036,0.25184,0.09754,0.09678,0.05605,1.65114,4.32038,1.33415,3.14568e-05,3.14568e-05,3.14568e-05
154,423.771,1.18177,1.29236,1.04442,0.26531,0.09665,0.10039,0.05748,1.6524,4.31843,1.33489,3.13677e-05,3.13677e-05,3.13677e-05
155,426.316,1.18547,1.24613,1.0411,0.27833,0.09894,0.10385,0.06024,1.65526,4.33054,1.33789,3.12786e-05,3.12786e-05,3.12786e-05
156,428.815,1.20617,1.29054,1.02076,0.29006,0.10535,0.1046,0.06101,1.65779,4.33557,1.34207,3.11895e-05,3.11895e-05,3.11895e-05
157,431.468,1.18873,1.31773,1.0315,0.28849,0.10734,0.1068,0.06273,1.65596,4.33669,1.33983,3.11004e-05,3.11004e-05,3.11004e-05
158,434.254,1.18093,1.21739,1.01971,0.28965,0.11225,0.10637,0.06358,1.65276,4.33647,1.33935,3.10113e-05,3.10113e-05,3.10113e-05
159,437.254,1.24012,1.32031,1.04891,0.26447,0.11317,0.10783,0.06466,1.64674,4.33704,1.3346,3.09222e-05,3.09222e-05,3.09222e-05
160,439.818,1.19568,1.19533,1.03375,0.2337,0.11691,0.10829,0.06531,1.63793,4.34462,1.32863,3.08331e-05,3.08331e-05,3.08331e-05
161,442.485,1.18724,1.19145,1.011,0.23271,0.11697,0.10682,0.06483,1.63632,4.3531,1.32943,3.0744e-05,3.0744e-05,3.0744e-05
162,444.902,1.17013,1.20669,1.00216,0.23085,0.11628,0.10738,0.06441,1.63828,4.35616,1.32985,3.06549e-05,3.06549e-05,3.06549e-05
163,447.455,1.20302,1.2575,1.04665,0.24124,0.11653,0.10454,0.0637,1.63731,4.34922,1.33016,3.05658e-05,3.05658e-05,3.05658e-05
164,450.604,1.15556,1.21099,1.0033,0.26253,0.10796,0.10446,0.06369,1.6419,4.34811,1.33236,3.04767e-05,3.04767e-05,3.04767e-05
165,453.25,1.18002,1.17009,1.04424,0.27917,0.11143,0.10879,0.0652,1.64564,4.34581,1.33297,3.03876e-05,3.03876e-05,3.03876e-05
166,455.667,1.17424,1.17787,1.01189,0.2818,0.10339,0.10873,0.06445,1.65001,4.33884,1.33518,3.02985e-05,3.02985e-05,3.02985e-05
167,458.055,1.16944,1.22518,1.01357,0.28398,0.10402,0.1084,0.06428,1.65306,4.33606,1.33684,3.02094e-05,3.02094e-05,3.02094e-05
