epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,422.608,1.23786,1.34627,1.05339,0.24192,0.13855,0.10783,0.06213,1.60235,4.17579,1.35264,3.15061e-05,3.15061e-05,3.15061e-05
137,425.424,1.21351,1.35306,1.04558,0.23111,0.14782,0.10772,0.06153,1.60208,4.16512,1.35109,3.1421e-05,3.1421e-05,3.1421e-05
138,428.262,1.21973,1.38275,1.05002,0.22057,0.15232,0.1099,0.06234,1.60189,4.13942,1.34951,3.13358e-05,3.13358e-05,3.13358e-05
139,431.66,1.24161,1.37198,1.0603,0.22361,0.15554,0.10977,0.06306,1.60255,4.1268,1.34897,3.12507e-05,3.12507e-05,3.12507e-05
140,434.673,1.23514,1.34146,1.05534,0.21971,0.15478,0.11271,0.06506,1.60911,4.0997,1.35065,3.11655e-05,3.11655e-05,3.11655e-05
141,437.391,1.17994,1.2684,1.06688,0.21849,0.15373,0.11393,0.06545,1.60961,4.09692,1.35155,3.10804e-05,3.10804e-05,3.10804e-05
142,440.208,1.20132,1.2627,1.06929,0.22768,0.15204,0.11923,0.06906,1.60824,4.09729,1.35212,3.09953e-05,3.09953e-05,3.09953e-05
143,443.249,1.21735,1.35796,1.06305,0.23942,0.14718,0.12018,0.06987,1.5995,4.093,1.34775,3.09101e-05,3.09101e-05,3.09101e-05
144,446.492,1.23964,1.30562,1.02196,0.24425,0.14124,0.11705,0.06839,1.59194,4.08373,1.34765,3.0825e-05,3.0825e-05,3.0825e-05
145,449.306,1.20035,1.30715,1.04687,0.11711,0.19763,0.11313,0.06549,1.59964,4.09521,1.35445,3.07398e-05,3.07398e-05,3.07398e-05
146,452.161,1.19988,1.30766,1.0582,0.23048,0.14058,0.11375,0.06627,1.60732,4.09326,1.35865,3.06547e-05,3.06547e-05,3.06547e-05
147,455.137,1.21011,1.33587,1.02595,0.24174,0.13682,0.11467,0.06582,1.61815,4.0916,1.36509,3.05696e-05,3.05696e-05,3.05696e-05
148,458.349,1.1924,1.34611,1.05526,0.25027,0.14331,0.1191,0.06759,1.6461,4.11332,1.3839,3.04844e-05,3.04844e-05,3.04844e-05
149,461.167,1.22423,1.28637,1.07526,0.2515,0.14556,0.12017,0.06812,1.65677,4.12387,1.38931,3.03993e-05,3.03993e-05,3.03993e-05
150,463.941,1.19494,1.28598,1.07094,0.16647,0.17428,0.11998,0.0683,1.65665,4.12856,1.3908,3.03141e-05,3.03141e-05,3.03141e-05
151,466.702,1.20735,1.20277,1.03609,0.24681,0.14385,0.11531,0.06536,1.65216,4.13329,1.38818,3.0229e-05,3.0229e-05,3.0229e-05
152,470.066,1.19153,1.27458,1.04892,0.16373,0.17151,0.11795,0.06876,1.63279,4.12858,1.37482,3.01439e-05,3.01439e-05,3.01439e-05
153,472.886,1.20547,1.27747,1.04865,0.2395,0.14764,0.11941,0.07051,1.61963,4.09696,1.36463,3.00587e-05,3.00587e-05,3.00587e-05
154,475.904,1.1809,1.2485,1.05761,0.24086,0.14965,0.11784,0.06966,1.61375,4.08135,1.35918,2.99736e-05,2.99736e-05,2.99736e-05
155,478.654,1.18716,1.19811,1.03322,0.24065,0.15159,0.11672,0.06888,1.61158,4.06699,1.35576,2.98884e-05,2.98884e-05,2.98884e-05
156,481.934,1.22902,1.25396,1.02783,0.23866,0.15424,0.11819,0.0696,1.62075,4.05567,1.36255,2.98033e-05,2.98033e-05,2.98033e-05
157,484.994,1.1844,1.22987,1.05448,0.23794,0.15176,0.11733,0.06858,1.632,4.05426,1.3665,2.97182e-05,2.97182e-05,2.97182e-05
158,487.739,1.18196,1.22181,1.05162,0.23659,0.14579,0.12507,0.07536,1.63882,4.0572,1.36995,2.9633e-05,2.9633e-05,2.9633e-05
159,490.618,1.15422,1.2142,1.05821,0.24306,0.14174,0.12516,0.07458,1.6465,4.05308,1.37153,2.95479e-05,2.95479e-05,2.95479e-05
160,493.667,1.16386,1.17977,1.01033,0.23349,0.13365,0.12209,0.07142,1.66084,4.08235,1.3796,2.94627e-05,2.94627e-05,2.94627e-05
161,496.766,1.16613,1.17423,1.03074,0.23082,0.1348,0.12288,0.07327,1.65934,4.07969,1.37956,2.93776e-05,2.93776e-05,2.93776e-05
162,499.65,1.19406,1.24411,1.01988,0.23926,0.13484,0.11942,0.07123,1.65761,4.08644,1.37903,2.92925e-05,2.92925e-05,2.92925e-05
163,502.499,1.18458,1.18508,1.03612,0.22183,0.1427,0.11434,0.06684,1.65005,4.08866,1.37589,2.92073e-05,2.92073e-05,2.92073e-05
164,505.417,1.17826,1.19309,1.01463,0.22104,0.13695,0.11392,0.06702,1.62578,4.08648,1.36706,2.91222e-05,2.91222e-05,2.91222e-05
165,508.554,1.17666,1.194,1.02842,0.2033,0.13522,0.11412,0.06715,1.62186,4.08197,1.3668,2.9037e-05,2.9037e-05,2.9037e-05
166,511.352,1.14994,1.17023,1.0552,0.16344,0.1517,0.11492,0.06792,1.61743,4.0781,1.36512,2.89519e-05,2.89519e-05,2.89519e-05
167,514.088,1.18434,1.22918,1.04666,0.05991,0.20401,0.11334,0.06724,1.61504,4.08188,1.36455,2.88668e-05,2.88668e-05,2.88668e-05
